url	download_complete
wics.ics.uci.edu/category/news/page/7?afg33_page_id=4&afg30_page_id=3&afg25_page_id=2&afg34_page_id=4&afg31_page_id=2&afg28_page_id=2&afg35_page_id=2&afg26_page_id=1	complete
wics.ics.uci.edu/category/news/page/8?afg22_page_id=1&afg14_page_id=1	complete
www.ics.uci.edu/~dechter/publications/r196.html	complete
wics.ics.uci.edu/category/news/page/7?afg33_page_id=4&afg30_page_id=3&afg25_page_id=2&afg34_page_id=4&afg31_page_id=2&afg28_page_id=2&afg35_page_id=2&afg26_page_id=2	complete
www.ics.uci.edu/~dechter/publications/r239.html	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=1&afg10_page_id=1&afg25_page_id=1&afg16_page_id=2&afg22_page_id=2&afg21_page_id=1&afg15_page_id=2	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=1&afg10_page_id=1&afg25_page_id=1&afg16_page_id=2&afg22_page_id=2&afg21_page_id=1&afg15_page_id=3	complete
www.ics.uci.edu/~dechter/r112.html	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=2&afg15_page_id=2&afg12_page_id=1&afg22_page_id=1&afg16_page_id=1&afg21_page_id=1	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=2&afg15_page_id=2&afg12_page_id=1&afg22_page_id=1&afg16_page_id=1&afg21_page_id=2	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=1&afg10_page_id=1&afg25_page_id=1&afg16_page_id=2&afg22_page_id=1&afg24_page_id=1	incomplete
wics.ics.uci.edu/category/news?afg33_page_id=4&afg30_page_id=3&afg25_page_id=2&afg34_page_id=4&afg31_page_id=2&afg28_page_id=2&afg35_page_id=2&afg77_page_id=1&afg76_page_id=1	incomplete
www.ics.uci.edu/~dechter/publications/r168.html	complete
wics.ics.uci.edu/recover/initiate?c=https%3A%2F%2Fm.facebook.com%2Flogin.php%3Fskip_api_login%3D1%26api_key%3D966242223397117%26signed_next%3D1%26next%3Dhttps%253A%252F%252Fm.facebook.com%252Fsharer.php%253Fu%253Dhttp%25253A%25252F%25252Fwics.ics.uci.edu%25252Finittogether%25252F%2526t%253DInit%252B%252528Together%252529%252B2013%26cancel_url%3Dhttps%253A%252F%252Fwww.facebook.com%252Fdialog%252Freturn%252Fclose%253Ferror_code%253D4201%2526error_message%253DUser%252Bcanceled%252Bthe%252BDialog%252Bflow%2523_%253D_%26display%3Dtouch%26locale%3Den_US&lwv=100&locale2=en_US&refid=9	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel?share=twitter	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=2&afg16_page_id=2&afg10_page_id=1	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
vision.ics.uci.edu/people/12.html	complete
www.ics.uci.edu/genealogy	complete
wics.ics.uci.edu/first-android-app-development-meeting	complete
www.ics.uci.edu/~dechter/r114.html	complete
wics.ics.uci.edu/category/news/page/8?afg14_page_id=1&afg10_page_id=1&afg25_page_id=1&afg16_page_id=2&afg22_page_id=2&afg21_page_id=1&afg15_page_id=1	complete
wics.ics.uci.edu/category/news?afg30_page_id=2&afg28_page_id=1&afg25_page_id=2&afg26_page_id=2&afg24_page_id=2&afg31_page_id=1&afg77_page_id=2	complete
wics.ics.uci.edu/category/news?afg30_page_id=2&afg28_page_id=1&afg25_page_id=2&afg26_page_id=2&afg24_page_id=2&afg31_page_id=1&afg77_page_id=1	complete
www.ics.uci.edu/employ_faculty.php	complete
www.ics.uci.edu/~dechter/publications/r38.html	complete
wics.ics.uci.edu/category/news/page/7?afg30_page_id=2&afg28_page_id=2&afg33_page_id=3&afg24_page_id=2&afg31_page_id=1&afg34_page_id=1&afg26_page_id=1&afg35_page_id=2	complete
wics.ics.uci.edu/category/news/page/7?afg30_page_id=2&afg28_page_id=2&afg33_page_id=3&afg24_page_id=2&afg31_page_id=1&afg34_page_id=1&afg26_page_id=1&afg35_page_id=1	complete
sdcl.ics.uci.edu/author/andre/page/8	complete
sdcl.ics.uci.edu/author/andre/page/9	complete
sdcl.ics.uci.edu/author/andre/page/6	complete
sdcl.ics.uci.edu/author/andre/page/7	complete
sdcl.ics.uci.edu/author/andre/page/4	complete
sdcl.ics.uci.edu/author/andre/page/5	complete
sdcl.ics.uci.edu/author/andre/page/2	complete
